
Vladimir Putin is the first president in Russia history to have carried out an executive order to expand Russian military capabilities, but his decision to approve the order with strong support from the European Union is likely to be greeted with harsh criticism by Moscow.

The Russian defence minister, Sergei Shoigu, said on Tuesday that the decision to allow the Ukrainian military to take over the control of western Ukraine was "an act of extreme arrogance".

He called it a "violation of international law" and said it would "certainly be seen as a provocation and a provocation, and of a serious breach of international law".

"It is the first time that Russian President Vladimir Putin has called for a return to the armed conflict in eastern Ukraine. He and his government have made the order available to the people of Ukraine. The use of the order is illegal, and it's contrary to international law and international law," Mr Shoigu said.

The US State Department said the US was "deeply concerned" at the prospect of Russian troops leaving Eastern Ukraine after the conflict erupted.

It said the US was not "supposing that any action by Russia will be taken to prevent further escalation in the conflict".

The US response to the Russian move to annex Crimea had been on hold for an extended period, but on Thursday it had confirmed that it had given Ukraine the "full authority" to respond to its demands.

Russia has said the move in its favour was "a clear breach of international law" in east Ukraine, and warned that it would "take action against any person or entity attempting to interfere" in the country's internal affairs.

The US imposed sanctions on Russia in March over the annexation of Crimea, which it said was the result of a Russian air campaign.

The Ukrainian government said in a statement it was withdrawing its troops from eastern Ukraine, but no further action was planned.

Ukraine has been in active military combat with Russia since March 2014, when it launched the military offensive to recapture the peninsula from pro-Russian separatists who were ousted from power in Kiev.
