

1. "As a child of a Christian, I saw the world in a different light"

2. "I was born to believe in Christ, and believe what I believe"

3. "I believe that my work is to make people better, not to make them poor"

4. "In my life I am not afraid to ask the question that bothers me the most, but I am willing to put out a fire when it is hot"

5. "I am not opposed to the idea of a political system that involves political parties"

6. "I am not opposed to a system that is based on fear of others"

7. "I am not opposed to the idea of a system that is based on fear of other people"

8. "I am not opposed to the idea of a system that is based on fear of social change"

9. "I am not opposed to the idea of a system that is based on fear of race"

10. "I am not opposed to the idea of a system that is based on fear of religion"

11. "I am not opposed to the idea of a system that is based on fear of sexuality"

12. "I am not opposed to the idea of a system that is based on fear of the sun"

13. "I am not opposed to the idea of a system that is based on fear of the earth"

14. "I am not opposed to the idea of a system that is based on fear of the moon"

15. "I am not opposed to the idea of a system that is based on fear of the stars"

16. "I am not opposed to the idea of a system that is based on fear of the moon"

17. "I am not opposed to the idea of a system that is based on fear of the sun"

18. "I am not opposed to the idea of a system that is based on fear of the moon"

19. "I am not opposed to the idea of a system that is based on fear of the stars"

