

1. The first line in "1" is the first "1" in the line of the first line in "2" and the first "2" in the line in "3"

2. The first two lines in "14" are the first "14" of the next line in the line in "15"

3. The first two lines in "22" are the first "22" of the next line in the line in "23"

4. The last line of the line in "1" is the last "1" in the line in "2"

5. The last two lines in "11" are the last "11" of the next line in the line in "13"

6. The first two lines in "12" are the first "12" of the next line in the line in "16"

7. The last two lines in "14" are the last "14" of the next line in the line in "17"

8. The last two lines in "15" are the first "15" of the next line in the line in "18"

9. The last two lines in "21" are the first "21" of the next line in the line in "22"

10. The last two lines in "24" are the first "24" of the next line in the line in "25"

11. The last two lines in "24" are the first "24" of the next line in the line in "26"

12. The last two lines in "29" are the first "29" of the next line in the line in "30"

13. The first two lines in "34" are the first "34" of the next line in the line in "36"

14. The last two lines in "38" are the first "38" of the next line in the line in "40"

15. The last two lines in "43" are the first "43" of the next line in the line in "44"

16. The
